???"TABLE_NAME","NUM_ROWS","LAST_ANALYZED"
"DATA_TYPE","12","2019-07-11 17:18:36"
"PAYMENT_METHOD","12","2019-07-11 17:19:15"
"DOCUMENT_TYPE","12","2019-07-11 17:18:37"
"MONTH_CBO","12","2019-10-16 22:02:09"
"EVENT_PARM","12","2019-08-06 22:00:59"
"CONFIG_TOOL_HDR","12","2019-07-11 17:18:33"
"E_LABOR_TYPE_CODE","12","2019-07-11 17:18:47"
"BASE_ACTIVITY_TYPE","12","2019-07-11 17:18:29"
"TF_SHIPMENT_CONFIG","12","2019-07-11 17:19:36"
"E_PAY_DUR","12","2019-07-11 17:18:48"
"WHSE_LOCN_MASK","12","2024-08-04 22:02:18"
"RE_RULATR_DATATYPE","11","2019-07-11 17:19:23"
"SPL_CODE_TYPE","11","2021-07-20 22:00:21"
"XCUSTOM_ATTRIBUTE_METADATA","11","2019-07-29 22:01:25"
"E_EVNT_STAT_CODE","11","2019-07-11 17:18:45"
"WM_INVENTORY_BAK0624","11","2022-06-24 22:00:11"
"ILM_ACTIVITY_TYPES","11","2019-07-11 17:18:54"
"PACKAGING","11","2019-07-11 17:19:14"
"CATEGORY","11","2020-04-03 22:00:58"
"E_WHSE_DTL","11","2019-07-11 17:18:51"
"ERROR_MESSAGE","10","2019-07-11 17:18:42"
"DISPATCH_STATUS","10","2019-07-11 17:18:36"
"WAVE_PROC_TYPE","10","2021-12-10 22:02:11"
"OM_SCHED_RECURRING_KEY_DATE","10","2019-07-11 17:19:10"
"CALLOUT_EVENT","10","2019-07-11 17:18:30"
"SO_PAYMENT_STATUS","10","2019-07-11 17:19:32"
"ILM_TASK_STATUS","10","2021-11-17 22:05:42"
"ACCEPTANCE_STATUS","9","2019-07-11 17:18:27"
"JMS_ROLES","9","2019-07-11 17:19:00"
"WORKFLOW_SCRIPT","9","2019-07-11 17:19:44"
"CL_EVENT_SUBSCRIPTION","9","2021-11-05 22:00:12"
"DYNAMIC_CONTROL_FIELDS","9","2019-07-11 17:18:38"
"MHE_ENDPOINT_CONFIG","9","2019-10-09 22:02:13"
"MHE_MSG_FORMAT","9","2020-07-15 22:01:10"
"INVOICE_TYPE","9","2019-07-11 17:18:58"
"OPT_ENGINE","9","2019-07-11 17:19:11"
"PO_RTS_ACTION","9","2019-07-11 17:19:19"
"UI_VALIDATION_MASK","8","2019-07-11 17:19:40"
"RE_RULATR_OPERATOR","8","2019-07-11 17:19:23"
"MESSAGE_BU_MAPPING_DETAILS","8","2019-07-11 17:19:06"
"SOA_MESSAGE_FRAGMENT","8","2019-07-11 17:19:30"
"DO_TYPE","8","2019-07-11 17:18:37"
"CHECK_DIGIT_TYPE","8","2019-07-11 17:18:31"
"Z_WZ_ITEMGSP","8","2021-12-16 22:00:59"
"E_DAY_CODE","8","2019-07-11 17:18:44"
"E_PAY_TYPE","8","2019-07-11 17:18:48"
